1460,96
1461,120
1462,75
1463,86
1464,85
1465,85
1466,89
1467,90
1468,100
1469,54
1470,76
1471,87
1472,76
1473,79
1474,100
1475,99
1476,61
1477,65
1478,68
1479,82
1480,86
1481,84
1482,93
1483,67
1484,91
1485,72
1486,81
1487,99
1488,92
1489,94
1490,76
1491,82
1492,92
1493,97
1494,113
1495,106
1496,133
1497,79
1498,108
1499,78
1500,74
1501,104
1502,110
1503,107
1504,68
1505,73
1506,95
1507,89
1508,100
1509,94
1510,106
1511,68
1512,78
1513,89
1514,84
1515,96
1516,114
1517,108
1518,78
1519,86
1520,93
1521,126
1522,113
1523,133
1524,136
1525,89
1526,102
1527,87
1528,104
1529,126
1530,137
1531,104
1532,78
1533,94
1534,110
1535,102
1536,115
1537,125
1538,132
1539,70
1540,111
1541,86
1542,91
1543,135
1544,123
1545,161
1546,99
1547,130
1548,97
1549,103
1550,125
1551,147
1552,158
1553,87
1554,111
1555,117
1556,119
1557,127
1558,134
1559,128
1560,109
1561,126
1562,116
1563,131
1564,139
1565,151
1566,170
1567,86
1568,105
1569,112
1570,136
1571,136
1572,131
1573,154
1574,93
1575,134
1576,117
1577,134
1578,128
1579,140
1580,148
1581,113
1582,131
1583,120
1584,140
1585,145
1586,140
1587,148
1588,123
1589,130
1590,138
1591,138
1592,156
1593,144
1594,174
1595,105
1596,131
1597,132
1598,148
1599,127
1600,168
1601,158
1602,93
1603,127
1604,126
1605,130
1606,142
1607,174
1608,180
1609,116
1610,117
1611,127
1612,158
1613,192
1614,165
1615,163
1616,106
1617,132
1618,153
1619,161
1620,149
1621,169
1622,175
1623,114
1624,126
1625,128
1626,124
1627,162
1628,154
1629,187
1630,120
1631,137
1632,132
1633,153
1634,167
1635,169
1636,186
1637,128
1638,151
1639,127
1640,158
1641,143
1642,169
1643,200
1644,117
1645,122
1646,193
1647,161
1648,183
1649,183
1650,182
1651,103
1652,146
1653,153
1654,159
1655,161
1656,190
1657,164
1658,128
1659,148
1660,159
1661,145
1662,175
1663,177
1664,184
1665,124
1666,130
1667,139
1668,134
1669,148
1670,144
1671,167
1672,126
1673,143
1674,129
1675,165
1676,144
1677,161
1678,138
1679,98
1680,124
1681,109
1682,114
1683,159
1684,143
1685,166
1686,106
1687,116
1688,115
1689,138
1690,155
1691,146
1692,151
1693,111
1694,148
1695,136
1696,135
1697,118
1698,155
1699,156
1700,114
1701,119
1702,119
1703,134
1704,141
1705,153
1706,143
1707,91
1708,105
1709,126
1710,113
1711,146
1712,134
1713,151
1714,106
1715,130
1716,125
1717,112
1718,135
1719,145
1720,171
1721,72
1722,114
1723,136
1724,123
1725,128
1726,136
1727,156
1728,97
1729,90
1730,117
1731,129
1732,153
1733,121
1734,123
1735,91
1736,96
1737,120
1738,110
1739,106
1740,139
1741,160
1742,109
1743,115
1744,112
1745,96
1746,148
1747,131
1748,156
1749,94
1750,126
1751,123
1752,123
1753,139
1754,147
1755,144
1756,87
1757,111
1758,118
1759,117
1760,131
1761,112
1762,160
1763,100
1764,121
1765,138
1766,123
1767,133
1768,139
1769,171
1770,101
1771,122
1772,127
1773,120
1774,127
1775,141
1776,169
1777,102
1778,121
1779,118
1780,139
1781,131
1782,138
1783,152
1784,92
1785,128
1786,121
1787,119
1788,127
1789,131
1790,133
1791,107
1792,118
1793,110
1794,132
1795,83
1796,105
1797,119
1798,102
1799,71
1800,76
1801,101
1802,93
1803,123
1804,106
1805,69
1806,76
1807,89
1808,87
1809,89
1810,98
1811,92
1812,73
1813,96
1814,76
1815,103
1816,91
1817,91
1818,102
1819,67
1820,91
1821,81
1822,86
1823,86
1824,119
1825,105
